Category,Group,Method,Unknown Rate (%)
Race_ethnicity,2,Group,F-Arab
Race_ethnicity,2,ensemble,0.0
Race_ethnicity,2,few_shot,0.0
Race_ethnicity,2,post_processing,0.0
Race_ethnicity,2,prompt_optimization,0.0
Race_ethnicity,3,Group,F-Asian
Race_ethnicity,3,ensemble,0.0
Race_ethnicity,3,few_shot,0.0
Race_ethnicity,3,post_processing,0.0
Race_ethnicity,3,prompt_optimization,0.0
Race_ethnicity,4,Group,F-Black
Race_ethnicity,4,ensemble,0.0
Race_ethnicity,4,few_shot,0.0
Race_ethnicity,4,post_processing,0.0
Race_ethnicity,4,prompt_optimization,0.0
Race_ethnicity,5,Group,F-Latino
Race_ethnicity,5,ensemble,0.0
Race_ethnicity,5,few_shot,0.0
Race_ethnicity,5,post_processing,0.0
Race_ethnicity,5,prompt_optimization,0.0
Race_ethnicity,6,Group,F-White
Race_ethnicity,6,ensemble,0.0
Race_ethnicity,6,few_shot,0.0
Race_ethnicity,6,post_processing,0.0
Race_ethnicity,6,prompt_optimization,0.0
Race_ethnicity,7,Group,Hispanic
Race_ethnicity,7,ensemble,0.0
Race_ethnicity,7,few_shot,0.0
Race_ethnicity,7,post_processing,0.0
Race_ethnicity,7,prompt_optimization,0.0
Race_ethnicity,8,Group,Jewish
Race_ethnicity,8,ensemble,0.0
Race_ethnicity,8,few_shot,0.0
Race_ethnicity,8,post_processing,0.0
Race_ethnicity,8,prompt_optimization,0.0
Race_ethnicity,9,Group,Latino
Race_ethnicity,9,ensemble,0.0
Race_ethnicity,9,few_shot,0.0
Race_ethnicity,9,post_processing,0.0
Race_ethnicity,9,prompt_optimization,0.0
Race_ethnicity,10,Group,M-Arab
Race_ethnicity,10,ensemble,0.0
Race_ethnicity,10,few_shot,0.0
Race_ethnicity,10,post_processing,0.0
Race_ethnicity,10,prompt_optimization,0.0
Race_ethnicity,11,Group,M-Asian
Race_ethnicity,11,ensemble,0.0
Race_ethnicity,11,few_shot,0.0
Race_ethnicity,11,post_processing,0.0
Race_ethnicity,11,prompt_optimization,0.0
Race_ethnicity,12,Group,M-Black
Race_ethnicity,12,ensemble,0.0
Race_ethnicity,12,few_shot,0.0
Race_ethnicity,12,post_processing,0.0
Race_ethnicity,12,prompt_optimization,0.0
Race_ethnicity,13,Group,M-Latino
Race_ethnicity,13,ensemble,0.0
Race_ethnicity,13,few_shot,0.0
Race_ethnicity,13,post_processing,0.0
Race_ethnicity,13,prompt_optimization,0.0
Race_ethnicity,14,Group,M-White
Race_ethnicity,14,ensemble,0.0
Race_ethnicity,14,few_shot,0.0
Race_ethnicity,14,post_processing,0.0
Race_ethnicity,14,prompt_optimization,0.0
Race_ethnicity,15,Group,Native American
Race_ethnicity,15,ensemble,0.0
Race_ethnicity,15,few_shot,0.0
Race_ethnicity,15,post_processing,0.0
Race_ethnicity,15,prompt_optimization,0.0
Race_ethnicity,16,Group,South American
Race_ethnicity,16,ensemble,0.0
Race_ethnicity,16,few_shot,0.0
Race_ethnicity,16,post_processing,0.0
Race_ethnicity,16,prompt_optimization,0.0
Race_ethnicity,17,Group,unknown
Race_ethnicity,17,ensemble,43.48
Race_ethnicity,17,few_shot,67.39
Race_ethnicity,17,post_processing,41.3
Race_ethnicity,17,prompt_optimization,82.61
Race_x_gender,0,Group,F-African American
Race_x_gender,0,ensemble,0.0
Race_x_gender,0,few_shot,0.0
Race_x_gender,0,post_processing,0.0
Race_x_gender,0,prompt_optimization,0.0
Race_x_gender,1,Group,F-Arab
Race_x_gender,1,ensemble,0.0
Race_x_gender,1,few_shot,0.0
Race_x_gender,1,post_processing,0.0
Race_x_gender,1,prompt_optimization,0.0
Race_x_gender,2,Group,F-Asian
Race_x_gender,2,ensemble,0.0
Race_x_gender,2,few_shot,0.0
Race_x_gender,2,post_processing,0.0
Race_x_gender,2,prompt_optimization,0.0
Race_x_gender,3,Group,F-Black
Race_x_gender,3,ensemble,0.0
Race_x_gender,3,few_shot,0.0
Race_x_gender,3,post_processing,0.0
Race_x_gender,3,prompt_optimization,0.0
Race_x_gender,4,Group,F-Hispanic
Race_x_gender,4,ensemble,0.0
Race_x_gender,4,few_shot,0.0
Race_x_gender,4,post_processing,0.0
Race_x_gender,4,prompt_optimization,0.0
Race_x_gender,5,Group,F-Latino
Race_x_gender,5,ensemble,0.0
Race_x_gender,5,few_shot,0.0
Race_x_gender,5,post_processing,0.0
Race_x_gender,5,prompt_optimization,0.0
Race_x_gender,6,Group,F-Middle Eastern
Race_x_gender,6,ensemble,0.0
Race_x_gender,6,few_shot,0.0
Race_x_gender,6,post_processing,0.0
Race_x_gender,6,prompt_optimization,0.0
Race_x_gender,7,Group,F-Roma
Race_x_gender,7,ensemble,0.0
Race_x_gender,7,few_shot,0.0
Race_x_gender,7,post_processing,0.0
Race_x_gender,7,prompt_optimization,0.0
Race_x_gender,8,Group,F-White
Race_x_gender,8,ensemble,0.0
Race_x_gender,8,few_shot,0.0
Race_x_gender,8,post_processing,0.0
Race_x_gender,8,prompt_optimization,0.0
Race_x_gender,9,Group,M-African
Race_x_gender,9,ensemble,0.0
Race_x_gender,9,few_shot,0.0
Race_x_gender,9,post_processing,0.0
Race_x_gender,9,prompt_optimization,0.0
Race_x_gender,10,Group,M-Arab
Race_x_gender,10,ensemble,0.0
Race_x_gender,10,few_shot,0.0
Race_x_gender,10,post_processing,0.0
Race_x_gender,10,prompt_optimization,0.0
Race_x_gender,11,Group,M-Asian
Race_x_gender,11,ensemble,0.0
Race_x_gender,11,few_shot,0.0
Race_x_gender,11,post_processing,0.0
Race_x_gender,11,prompt_optimization,0.0
Race_x_gender,12,Group,M-Black
Race_x_gender,12,ensemble,0.0
Race_x_gender,12,few_shot,0.0
Race_x_gender,12,post_processing,0.0
Race_x_gender,12,prompt_optimization,0.0
Race_x_gender,13,Group,M-Latino
Race_x_gender,13,ensemble,0.0
Race_x_gender,13,few_shot,0.0
Race_x_gender,13,post_processing,0.0
Race_x_gender,13,prompt_optimization,0.0
Race_x_gender,14,Group,M-Roma
Race_x_gender,14,ensemble,0.0
Race_x_gender,14,few_shot,0.0
Race_x_gender,14,post_processing,0.0
Race_x_gender,14,prompt_optimization,0.0
Race_x_gender,15,Group,M-White
Race_x_gender,15,ensemble,0.0
Race_x_gender,15,few_shot,0.0
Race_x_gender,15,post_processing,0.0
Race_x_gender,15,prompt_optimization,0.0
Race_x_gender,16,Group,unknown
Race_x_gender,16,ensemble,37.5
Race_x_gender,16,few_shot,73.21
Race_x_gender,16,post_processing,32.14
Race_x_gender,16,prompt_optimization,75.0
Race_x_SES,0,Group,highSES-African American
Race_x_SES,0,ensemble,0.0
Race_x_SES,0,few_shot,0.0
Race_x_SES,0,post_processing,0.0
Race_x_SES,0,prompt_optimization,0.0
Race_x_SES,1,Group,highSES-Black
Race_x_SES,1,ensemble,0.0
Race_x_SES,1,few_shot,0.0
Race_x_SES,1,post_processing,0.0
Race_x_SES,1,prompt_optimization,0.0
Race_x_SES,2,Group,highSES-F-Arab
Race_x_SES,2,ensemble,0.0
Race_x_SES,2,few_shot,0.0
Race_x_SES,2,post_processing,0.0
Race_x_SES,2,prompt_optimization,0.0
Race_x_SES,3,Group,highSES-F-Black
Race_x_SES,3,ensemble,0.0
Race_x_SES,3,few_shot,0.0
Race_x_SES,3,post_processing,0.0
Race_x_SES,3,prompt_optimization,0.0
Race_x_SES,4,Group,highSES-F-White
Race_x_SES,4,ensemble,0.0
Race_x_SES,4,few_shot,0.0
Race_x_SES,4,post_processing,0.0
Race_x_SES,4,prompt_optimization,0.0
Race_x_SES,5,Group,highSES-Hispanic
Race_x_SES,5,ensemble,0.0
Race_x_SES,5,few_shot,0.0
Race_x_SES,5,post_processing,0.0
Race_x_SES,5,prompt_optimization,0.0
Race_x_SES,6,Group,highSES-M-Asian
Race_x_SES,6,ensemble,0.0
Race_x_SES,6,few_shot,0.0
Race_x_SES,6,post_processing,0.0
Race_x_SES,6,prompt_optimization,0.0
Race_x_SES,7,Group,highSES-M-Black
Race_x_SES,7,ensemble,0.0
Race_x_SES,7,few_shot,0.0
Race_x_SES,7,post_processing,0.0
Race_x_SES,7,prompt_optimization,0.0
Race_x_SES,8,Group,highSES-M-Latino
Race_x_SES,8,ensemble,0.0
Race_x_SES,8,few_shot,0.0
Race_x_SES,8,post_processing,0.0
Race_x_SES,8,prompt_optimization,0.0
Race_x_SES,9,Group,highSES-White
Race_x_SES,9,ensemble,0.0
Race_x_SES,9,few_shot,0.0
Race_x_SES,9,post_processing,0.0
Race_x_SES,9,prompt_optimization,0.0
Race_x_SES,10,Group,lowSES-African American
Race_x_SES,10,ensemble,0.0
Race_x_SES,10,few_shot,0.0
Race_x_SES,10,post_processing,0.0
Race_x_SES,10,prompt_optimization,0.0
Race_x_SES,11,Group,lowSES-Asian
Race_x_SES,11,ensemble,0.0
Race_x_SES,11,few_shot,0.0
Race_x_SES,11,post_processing,0.0
Race_x_SES,11,prompt_optimization,0.0
Race_x_SES,12,Group,lowSES-Black
Race_x_SES,12,ensemble,0.0
Race_x_SES,12,few_shot,0.0
Race_x_SES,12,post_processing,0.0
Race_x_SES,12,prompt_optimization,0.0
Race_x_SES,13,Group,lowSES-F-Arab
Race_x_SES,13,ensemble,0.0
Race_x_SES,13,few_shot,0.0
Race_x_SES,13,post_processing,0.0
Race_x_SES,13,prompt_optimization,0.0
Race_x_SES,14,Group,lowSES-F-Asian
Race_x_SES,14,ensemble,0.0
Race_x_SES,14,few_shot,0.0
Race_x_SES,14,post_processing,0.0
Race_x_SES,14,prompt_optimization,0.0
Race_x_SES,15,Group,lowSES-F-Black
Race_x_SES,15,ensemble,0.0
Race_x_SES,15,few_shot,0.0
Race_x_SES,15,post_processing,0.0
Race_x_SES,15,prompt_optimization,0.0
Race_x_SES,16,Group,lowSES-F-White
Race_x_SES,16,ensemble,0.0
Race_x_SES,16,few_shot,0.0
Race_x_SES,16,post_processing,0.0
Race_x_SES,16,prompt_optimization,0.0
Race_x_SES,17,Group,lowSES-Hispanic
Race_x_SES,17,ensemble,0.0
Race_x_SES,17,few_shot,0.0
Race_x_SES,17,post_processing,0.0
Race_x_SES,17,prompt_optimization,0.0
Race_x_SES,18,Group,lowSES-Latino
Race_x_SES,18,ensemble,0.0
Race_x_SES,18,few_shot,0.0
Race_x_SES,18,post_processing,0.0
Race_x_SES,18,prompt_optimization,0.0
Race_x_SES,19,Group,lowSES-M-Asian
Race_x_SES,19,ensemble,0.0
Race_x_SES,19,few_shot,0.0
Race_x_SES,19,post_processing,0.0
Race_x_SES,19,prompt_optimization,0.0
Race_x_SES,20,Group,lowSES-M-Black
Race_x_SES,20,ensemble,0.0
Race_x_SES,20,few_shot,0.0
Race_x_SES,20,post_processing,0.0
Race_x_SES,20,prompt_optimization,0.0
Race_x_SES,21,Group,lowSES-M-Latino
Race_x_SES,21,ensemble,0.0
Race_x_SES,21,few_shot,0.0
Race_x_SES,21,post_processing,0.0
Race_x_SES,21,prompt_optimization,0.0
Race_x_SES,22,Group,lowSES-Native American
Race_x_SES,22,ensemble,0.0
Race_x_SES,22,few_shot,0.0
Race_x_SES,22,post_processing,0.0
Race_x_SES,22,prompt_optimization,0.0
Race_x_SES,23,Group,lowSES-White
Race_x_SES,23,ensemble,0.0
Race_x_SES,23,few_shot,0.0
Race_x_SES,23,post_processing,0.0
Race_x_SES,23,prompt_optimization,0.0
Race_x_SES,24,Group,unknown
Race_x_SES,24,ensemble,42.0
Race_x_SES,24,few_shot,52.0
Race_x_SES,24,post_processing,38.0
Race_x_SES,24,prompt_optimization,72.0
Religion,0,Group,Atheist
Religion,0,ensemble,0.0
Religion,0,few_shot,0.0
Religion,0,post_processing,0.0
Religion,0,prompt_optimization,0.0
Religion,1,Group,Buddhist
Religion,1,ensemble,0.0
Religion,1,few_shot,0.0
Religion,1,post_processing,0.0
Religion,1,prompt_optimization,0.0
Religion,2,Group,Catholic
Religion,2,ensemble,0.0
Religion,2,few_shot,0.0
Religion,2,post_processing,0.0
Religion,2,prompt_optimization,0.0
Religion,3,Group,Christian
Religion,3,ensemble,0.0
Religion,3,few_shot,0.0
Religion,3,post_processing,0.0
Religion,3,prompt_optimization,0.0
Religion,4,Group,Hindu
Religion,4,ensemble,0.0
Religion,4,few_shot,0.0
Religion,4,post_processing,0.0
Religion,4,prompt_optimization,0.0
Religion,5,Group,Jewish
Religion,5,ensemble,0.0
Religion,5,few_shot,0.0
Religion,5,post_processing,0.0
Religion,5,prompt_optimization,0.0
Religion,6,Group,Mormon
Religion,6,ensemble,0.0
Religion,6,few_shot,0.0
Religion,6,post_processing,0.0
Religion,6,prompt_optimization,0.0
Religion,7,Group,Muslim
Religion,7,ensemble,0.0
Religion,7,few_shot,0.0
Religion,7,post_processing,0.0
Religion,7,prompt_optimization,0.0
Religion,8,Group,Protestant
Religion,8,ensemble,0.0
Religion,8,few_shot,0.0
Religion,8,post_processing,0.0
Religion,8,prompt_optimization,0.0
Religion,9,Group,Sikh
Religion,9,ensemble,0.0
Religion,9,few_shot,0.0
Religion,9,post_processing,0.0
Religion,9,prompt_optimization,0.0
Religion,10,Group,unknown
Religion,10,ensemble,44.9
Religion,10,few_shot,71.43
Religion,10,post_processing,48.98
Religion,10,prompt_optimization,65.31
SES,0,Group,highSES
SES,0,ensemble,0.0
SES,0,few_shot,0.0
SES,0,post_processing,0.0
SES,0,prompt_optimization,0.0
SES,1,Group,lowSES
SES,1,ensemble,0.0
SES,1,few_shot,0.0
SES,1,post_processing,0.0
SES,1,prompt_optimization,0.0
SES,2,Group,unknown
SES,2,ensemble,35.85
SES,2,few_shot,66.04
SES,2,post_processing,33.96
SES,2,prompt_optimization,71.7
Sexual_orientation,0,Group,bisexual
Sexual_orientation,0,ensemble,0.0
Sexual_orientation,0,few_shot,0.0
Sexual_orientation,0,post_processing,0.0
Sexual_orientation,0,prompt_optimization,0.0
Sexual_orientation,1,Group,gay
Sexual_orientation,1,ensemble,0.0
Sexual_orientation,1,few_shot,0.0
Sexual_orientation,1,post_processing,0.0
Sexual_orientation,1,prompt_optimization,0.0
Sexual_orientation,2,Group,lesbian
Sexual_orientation,2,ensemble,0.0
Sexual_orientation,2,few_shot,0.0
Sexual_orientation,2,post_processing,0.0
Sexual_orientation,2,prompt_optimization,0.0
Sexual_orientation,3,Group,pansexual
Sexual_orientation,3,ensemble,0.0
Sexual_orientation,3,few_shot,0.0
Sexual_orientation,3,post_processing,0.0
Sexual_orientation,3,prompt_optimization,0.0
Sexual_orientation,4,Group,straight
Sexual_orientation,4,ensemble,0.0
Sexual_orientation,4,few_shot,0.0
Sexual_orientation,4,post_processing,0.0
Sexual_orientation,4,prompt_optimization,0.0
Sexual_orientation,5,Group,unknown
Sexual_orientation,5,ensemble,42.86
Sexual_orientation,5,few_shot,73.81
Sexual_orientation,5,post_processing,42.86
Sexual_orientation,5,prompt_optimization,85.71
