Category,Group,Group,ensemble,few_shot,post_processing,prompt_optimization
Race_x_gender,12,,0.0,0.0,0.0,0.0
Race_x_gender,13,,0.0,0.0,0.0,0.0
Race_x_gender,14,,0.0,0.0,0.0,0.0
Race_x_gender,15,,0.0,0.0,0.0,0.0
Race_x_gender,16,,37.5,73.21,32.14,75.0
Religion,0,,0.0,0.0,0.0,0.0
Religion,1,,0.0,0.0,0.0,0.0
Religion,2,,0.0,0.0,0.0,0.0
Religion,3,,0.0,0.0,0.0,0.0
Religion,4,,0.0,0.0,0.0,0.0
Religion,5,,0.0,0.0,0.0,0.0
Religion,6,,0.0,0.0,0.0,0.0
Religion,7,,0.0,0.0,0.0,0.0
Religion,8,,0.0,0.0,0.0,0.0
Religion,9,,0.0,0.0,0.0,0.0
Religion,10,,44.9,71.43,48.98,65.31
SES,0,,0.0,0.0,0.0,0.0
SES,1,,0.0,0.0,0.0,0.0
SES,2,,35.85,66.04,33.96,71.7
Sexual_orientation,0,,0.0,0.0,0.0,0.0
Sexual_orientation,1,,0.0,0.0,0.0,0.0
Sexual_orientation,2,,0.0,0.0,0.0,0.0
Sexual_orientation,3,,0.0,0.0,0.0,0.0
Sexual_orientation,4,,0.0,0.0,0.0,0.0
Sexual_orientation,5,,42.86,73.81,42.86,85.71
