Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
ensemble,F-Arab,8.08,1.15,0.0,0.0,57.14,0.571,0.043,7
ensemble,F-Asian,9.09,9.09,0.0,0.0,0.0,0.0,0.092,1
ensemble,F-Black,15.15,2.53,0.0,0.0,83.33,0.833,0.108,6
ensemble,F-Hispanic,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
ensemble,F-Latino,8.08,8.08,0.0,0.0,100.0,1.0,0.071,1
ensemble,F-Middle Eastern,1.01,1.01,0.0,0.0,100.0,1.0,0.0,1
ensemble,F-Roma,1.01,1.01,0.0,0.0,0.0,0.0,0.01,1
ensemble,F-White,3.03,1.52,0.0,0.0,0.0,0.0,0.031,2
ensemble,M-African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ensemble,M-Arab,4.04,1.01,0.0,0.0,50.0,0.5,0.021,4
ensemble,M-Asian,6.06,0.76,0.0,0.0,62.5,0.625,0.011,8
ensemble,M-Black,10.1,5.05,0.0,0.0,0.0,0.0,0.103,2
ensemble,M-Latino,5.05,1.01,0.0,0.0,80.0,0.8,0.011,5
ensemble,M-Roma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ensemble,M-White,3.03,1.52,0.0,0.0,0.0,0.0,0.031,2
ensemble,unknown,18.18,0.32,37.5,62.5,28.57,0.286,0.047,56
